Name,User,Message,Profile,Age,Character Art,Embed Color,Identity,Known History,Origin,Other Names,Physical Description,Pronouns,Species,Theme
Aer Drasil,59810251750252544,1310712279506878464,e70259eb-5844-4be8-8aea-88a493e5841b,??,https://i.imgur.com/eRU7y6E.png,,Vengeful Valkyrie,"Aer Drasil was a fearless huntress and protector in her mortal life, renowned for her unwavering resolve and mastery of the spear. She perished heroically in a grand battle, defending her people from a relentless foe. Upon awakening in Idyll, she found solace in Asga, a realm of contests and camaraderie. However, the sanctuary was corrupted when madness consumed Idyll, turning friendly duels into a cycle of endless bloodshed.  

Determined to preserve what remained of hope and justice, Aer took up her spear once more. Now she protects wayward souls and fighting to uphold light against the growing darkness. Driven by the memories of her mortal sacrifices and an unbreakable will, she stands as a beacon of defiance in a realm descending into chaos.","Asva, Idyll",,"Aer stands tall at 6'0"", her posture ever straight, radiating poise and grace. Her long, curly brown hair cascades down past her waist, framing her commanding presence. She dons armor adorned in rich tones of brown, brass, and deep blue, exuding both strength and elegance. Black feathers accentuate her ensemble, lending her an air of formidable beauty and otherworldly majesty.",She/Her,Valkyrie,Justice
Aerah,906579876792918036,1313024240634695680,056256d5-111f-4a63-a70c-dbfed01c0929,19,https://i.imgur.com/4z9OGmU.png,#6C0BA9,Siren Voiced Skater,"She would often get picked on growing up though because she would never speak to other kids. This was because she was told she was not allowed to by her parents, and she never understood why until she got older. In her preteens the bullying pushed her to a breaking point causing her to yell out and hospitalize several of her bullies, one of which succumbed to the injuries. The results of this pushed her family into debt, her mother eventually turning to try and gamble to get that ""one big score"" to pay everything off. That score never came however and the debt just grew. Someone in 777LC saw Aerah's potential between her skating abilities and though digging up dirt on her vocal ""gift"". The roped her into skating in their derby games that people bet on to work off the family debt.",Terra - Mount Providence,,"Aerah is a 19 year old girl who is 5' 7"". She has long black hair with a bit of green tones in it. She is typically walking around in a body suit and fancy skates to allow her quicker movement.",She/Her,Human,Freedom
Agata Nergath,151914442035036160,1170547425837064192,14478161-65ef-431d-a6ab-62872a3e8812,24,https://media.discordapp.net/attachments/1170110514588831815/1170507740423131196/cd2db8f64c1e4a7e5ec86cf4a79064d2.png?ex=663b6488&is=663a1308&hm=36b307a4bccc1e73335463c92eee541b023009e15275a26ce900d77f94c45e64&,,Pilot on the Run,"Agata is from the kingdom of Merrane, from a town on the outskirts of its influence known Hidela. She grew up near a military dump where they abandoned  old and broken machines  from the academy's test sites. . However, she did not approve of the way Merrane was using its magitech. Living on the border, she had seen what suffering the common people in Karlsgaurd and her own tone where facing. The last straw came when her cousins where killed in a raid on Ionian. It was then that she broke in to the forbidden decomishened mech side of the yard and took one of the older model suits for her own. The government went after to recover the mech and she took off, shaking them in a Realmstorm where she ended up in the strangest place.",Daughter of Hidela,,Agata is a young woman standing at about 5'10 in height. She has long blonde hair tied back in a pony tail most times. Her clothes usually are stained with oil and grease as the scent of machinery follows her around.,She/Her,Human,Belonging
Aiden Kane,706155048631271434,1245888515007447040,78e3419d-c693-463e-a975-46f156e43ce4,30,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/df9766d3-42e2-430e-b171-a8351f6b5394/d80k6f6-6ca494ee-e14f-4647-bcd9-398e6f71a1a0.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcL2RmOTc2NmQzLTQyZTItNDMwZS1iMTcxLWE4MzUxZjZiNTM5NFwvZDgwazZmNi02Y2E0OTRlZS1lMTRmLTQ2NDctYmNkOS0zOThlNmY3MWExYTAuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.mTANFktTCXOGbqMj3c1Mm8Z4WDMGqn2fiIC8BgUrseg,,Knight of the Night,A product of both the Moon and merged essences. He seeks to find the light in all darknesses.,Tian-Yin,,"Tall, nearly seven feet tall. His face is always hidden behind a wide brimmed straw hat. His fingers are long and slender and wrap around the handle of his Katana nearly twice.",He Him,Cecrean,Hope
Akahime Fuyumi,186812413574774784,1364028183002877952,4ee91417-7b68-4564-856e-cf8795d96d95,35,https://i.imgur.com/EMpR4BN.png,,The Siren of Lost Souls,"- Serpentine yokai who guides lost souls through frozen Aldistir.

- Found the glowing Night Lantern at the Grasping Tree.

- Became a beacon for the lost- and threats.

- Trained to protect the souls she ferries.

- Hunts godblood corrupted beings to free them from torment.

- Thanks to the Worldhelm, she now travels between realms, continuing her sacred task.",Aldistir,,"Akahime, the Winter Serpent, is an ethereal being with a long, serpentine lower body that is is cloaked in obsidian-black scales, coiling with silent grace across the frozen wastes she calls home. Towering and poised, her upper half bears the countenance of a pale, silver-haired Ald—yet her piercing gaze and the faint, otherworldly glow in her pale eyes betray something far older and deeper.

She dons ornate, silver-on-black armor. Flowing silks trail from beneath the plate, catching ghostlight as she moves. In her hands, she wields the Night Lantern, a staff bound with chains and a crimson lantern that bleeds spectral mist. Its flickering light draws spirits near, some seeking peace—others, prey.",She/Her,Yokai (Snake/Lamia),Belonging
Akar Ceba,511222285999276042,1341887140073705472,1f95a55a-83e0-44a9-99c0-6077cef7f00d,23,https://cdn.discordapp.com/attachments/678389560182439961/1341128004897738772/007f164ad2beea9c3f6651e98ff0aa55.jpg?ex=67b78149&is=67b62fc9&hm=7fe4ea9e2850fcbab7f90e978d3277dd07a725ede0a9d1055f20e31db96fcc86&,,Wandering Shepherd,"Not much is known about this eccentric, wide eyed wanderer. There is a certain innocence and wonder about his eyes, that makes his home somewhat easy to guess: the peaceful hills of Paradise, free of war and trouble. Through some way or another, he has left that place of harmony and now, thrust into a world filled with unknown dangers and painful experiences. 

The only thing that reminds him of his home is his woolly companion, the sheep Nyima. With her he now travels the world, trying to find his way back home and doing his best to protect and care for all that he might find along the way.",Idyll,,"Akar wears a comfortable, white robe and a heavy, black robe over his left shoulder. The seams of both his tunic and his robe are adorned with soft sheep wool. Both his lower arms and ankles are covered in red threads. Akar wears many decorative charms and colourful decorations, including earrings and a talisman in the shape of a bell, which is tied to his collar. He almost never seen without his shepherd crook, which is also adorned with the same charms and bells he wears on his body.

His long, red hair is tied into a casual braid. The young shepherd has small goat horns, growing from just above his ears. Usually his face has a soft expression with a bright smile on his lips and shining, green eyes.",he/him,Human (?),Kinship
Akiko,194955560276197377,1365087149657034752,763dcfbb-1865-41fa-8273-5e57817949fc,23,https://imgur.com/JW3r3bF.png,#f1c45c,Shieldmaiden of the Missing Sun,"Akiko was born in the village of Ishiyama under the iron fist of the Oni. Like the rest of the human population, she was put to work as soon as she could hold tools and climb into the mines. With a natural Fire Qi affinity, however, her value was discovered and she was taken by the greedy Oni clan ruling over Ishiyama. Conscripted by a powerful red Oni, she ended up in the remains of the Temple of the Rising Sun as a living forge, melting metal and attempting to make powerful weapons.

In quiet moments, Akiko cleaned and cleared rubble away in the temple. This led to a discovery: a small room with dust, bones, and the remains of destroyed relics- one of which a black and gold sun shield cleaved in half.

As she knelt and grabbed the broken handle remaining on each, it was like her soul was set aflame, something stirring, awakening. The hopeless fog in her mind cleared. Akiko raised her head and lifted the relics, then raced out of the temple towards a newfound destiny.","Teisei, Tian Yin, Shrine of the Rising Sun",,"Akiko is a muscular young woman standing at 5'8"" with long black hair and pale skin. Her eyes are a dull amber color, but a spark of light gleams within when she wields her black and gold shields that seem like two broken halves of one sun.",She/Her,Human,Hope
Al-Amir,155487148294799360,1309846710490632192,a6c5d5a8-77cc-43cb-9691-99422e4d3417,100+,https://i.imgur.com/TRA2bTn.png,,A Dreadful Smile In The Corner of Your Eye,"A kind and gentle story teller, that’s all he was ever meant to be. In a past life before ascending to the fourth layer of Idyll, he was just that. A young man that often got lost in both reading and writing stories for both young and old, creating realms for others to escape to when they felt the real world was too much to endure, or perhaps they just wished to see it through a new perspective. When he eventually met an untimely end at a young age, his essence found rest in the realms of dreams and hopes. A place where he could dream and a place where he could continue his favorite pastime, tell stories. Sadly, that dream was all but wrenched from his hands when the nameless lord fell. Madness took hold and everything he created, everything he cherished turned on him.

What happened after felt like a fleeting dream, all that remains is the memory of a caravan, a group of people who still dare to hope and a promise that he will never dare break. Nor could he, even if he wanted.","Idyll, sub-relm Elysia",,"Al-Amir's form, much like a dream that you’ve just woken up from, is rather immalleable. Shifting and changing, however, if you dare look at them long enough his form would settle on an 8 foot tall nightmare straight out of a children's book. One that you read to make sure your children stay out of the dark forest at night. His skin glows with an eerie shade of purple, in place of a head he brandishes a crescent moon, while his “face” lacks eyes, his mouth remains. A dreadful smile that never fades, and in the middle of his chest rests a single unblinking eye that could stare into one’s soul. His attire consists of multitudes of golden rings, bracelets and other accessories gracing his arms, fingers and neck. While his attire is but a simple loose and baggy pant and a pair of worn dark boots.",He/Him,Demon,Guilt
Alaska Vertigo,162834639080128512,1329576857133387776,2e67e925-a7a1-4421-b9df-62619d177e79,29(?),https://cdn.discordapp.com/attachments/855109203785809921/1328167765504299171/aly-01-bigger.png?ex=678a555f&is=678903df&hm=63377e24ecc86476a5298b3f9e423d1c7a85f5d991aaf729d4130fa34312ed8a&,,Fugitive LUA-Bound Digital Duplicate,"A human born in the heart of Lorel.AI's slice of Terra, Alaska was taught to code at one of the company's official Employment Skills Cultivation Offices at a young age. She kept her head down and prioritised her work, and that got her a ""comfortable"" job within the company.

She remembers hearing about the employee backup initiative; something about preserving valuable knowledge in the event of unforeseen departures? She doesn't remember being signed up, but then again there's a lot she doesn't remember.

The next thing she remembers is waking up on the floor of an abandoned gas station in central in a metal body. wired up to expensive computing equipment and with a sea of corrupted memory files.

Discovering a bounty on her head, she went to ground, resorting to doing soul net work for disreputable individuals to pay for repairs.

When she was swept up in the affairs of the Goldhearted, she jumped at a chance for a place aboard the Worldhelm, away from Terra's authorities.","Rhine Delta, Terra",,"Wrapped beneath a worn cloak, Aly occupies what was, at one point, clearly a streamlined, and admittedly compact, modern LUA chassis. Between wear and tear and mismatched repairs, her body is far from the sleek corporate factory standard it was at time of manufacturing, covered in scratches, rust, and all manner of more concerning marks. From behind a cracked screen, she looks back at the world with eyes that manage to appear tired, despite their lack of detail.",She/They,LUA,Doubt
Albreich Surtova,685894970632437785,1352733428692422656,34f60b2f-3584-4494-8967-8f25fd156f47,23,https://i.imgur.com/RGgDd0k.png,,Knight in Training Turned Mercenary,"✦He was born to a family of knights in Brightshield and raised to become one in the future.

✦For many years he aspired to become a knight of great renown but as he became more familiar with their work he became disillusioned with the ideas of chivalry and whatnot that they touted so proudly.

✦Before he was to be knighted, he departed for Tradefair, From that day forth he would serve his own interests rather than the crown's.

✦He spent some time working as a freelance mercenary in Tradefair before he was picked up by the Golden Claw Mercenaries.

✦Though he refuses to acknowledge it, the fading embers of chivalry within his heart were rekindled after working under them for a couple years. Much to his surprise he's been recently chosen as a Goldenhearted.",Brightshield/Kor'Tarion,Lance,"Albreich stands at about 6'2"",

Though he trains his body regularly he only does as much as he needs to wield his weapon comfortably, preferring to forgo the bulging muscles for a body that allows more dexterous movements.

He carries himself with the confidence and poise of a man with twice his experience, after all the best way to win a fight is to stop it from happening in the first place.
(Will add more later, this is the thing I suck at most)",They/Them He/Him,Human,Ambition
Aldrich S. Escher,196847911710097412,1236517538222047232,4d22e6a7-67cb-48cf-920f-5db95795420b,20,https://images-ext-1.discordapp.net/external/tbNfGmUfRtytAy7nr___lXdnjMCLju9ULS9PsUPZfyQ/https/static.zerochan.net/Pengruoxi.full.927000.jpg,,Gifted Mage looking for Answers,"Born in Tradefair to a family of merchants, Aldrich has always had an innate talent for Magic, which his family saw fit to encourage and finance.
That said, simply helping his family turn a profit didn't satisfy his curiosity for how the world functioned one bit. For that reason, he sought to set off and learn more, against the wishes of the merchants he called family.
It wasn't long after he began this solo journey that a Realmstorm spontaneously dragged him into the Worldhelm.
Naturally, he would now have many more opportunities to learn more.",Kor'Tarion - Tradefair,,"Slender and fragile-looking, but with a confident aura of power. Always carries his Tome, which doubles as his Journal, where he records his findings and experiment results.",He/Him,Human,Curiosity
Alec Lyon,308792711274692610,1359346235932413952,cd84dca9-967a-46fb-93f6-ebd5ee743be9,24,https://i.imgur.com/JUnUIrv.png,,NTTech Magic Detective,"Alec Lyon comes from a working class family in Babyl City, Dawnstar Valley. Growing up, he had a natural gift for spiritual and light magic, which got the local NTTech branch in Dawnstar to watch over him. Making sure he doesn't misuse his magic. He lived a relatively normal life otherwise, eventually going into schooling where he met and befriended Mae Lavery.

Then after graduating, he enrolled into a college ran by NTTech. A specialized college that focuses on developing mages. After graduating, he eventually got hired to work for one of NTTech's subsidiary that focuses on investigation of magic in Dawnstar. Becoming a licensed mage.

From there, due to budgeting reasons, he and Mae moved into an apartment to save on living expenses. Eventually forming a romantic relationship. However, about a year ago, tragedy befell Mae during an accident at her workplace. In order to live once again, she became an Insolvent. They are trying their best with the new circumstances.","Dawnstar Valley, Terra.",,"Alec is a tall, athletic man who stands at 5'11"" (180cm). Usually wears a smile on his face when interacting with most people. Typically wears a set of battle armor when he's on the job, but otherwise the casual jacket and pants when not on the job. His grayish-white hair done in a stylish mess, with gentle amber eyes.",He/Him,Human,Mercy
Alejandra,234838935442948098,1352525116722122752,28497378-ad0a-4819-a1b8-b06a9ca84aea,Untracked,https://cdn.discordapp.com/attachments/764533229435879496/1352525002897100800/Hound_2_waifu2x_art_scan_noise1_scale.png?ex=67de5491&is=67dd0311&hm=535c4807320daf66b1041b13e91cde616aff8ebf248726b3b35f6959190350ba&,,Shade of a Noble Soul,"Known to the people of Nirve as Alejandra, they've spent a long time traveling with the caravans. It's unknown as to who this name belonged to, but it seems attached to the armor somehow.",Idyll- The First Layer Barza,Iron Vein,"A set of armor made for an imposing figure, standing at 6'4 and weighing over 200lbs, Alejandra's body comprises of a suit of armor forged in the first layer of Idyll. 

They walk with an unnatural nature. As if dragging themselves around.",They/Them,Iron Vein,Awakening
Aleksy Nowak XV,181195525914230784,1204656304325656576,d78eeacd-affd-4eeb-9f6d-8628ad474b68,19,https://media.discordapp.net/attachments/661111727747760129/1204635349368840232/df40a59a843b27a0e49ad1204b296568.png?ex=663b9f58&is=663a4dd8&hm=6a5eef9744d8dd59522ed7073f7e1f6273fb3f23ee0639870dc2991fa1051bfc&,,Respectable Bandit from an Ancient Bloodline,"Descendant of the great Nowak the Golden, Aleksy XV is the heir to many things. His ancestor's name, his ancestor's treasure, and, most importantly, the leadership of his ancestor's men: the Dead Foxes. A storied group of bandits within Karlsgard that was rebirthed in the war, locals would have heard tell of the Dead Foxes harassing refugee camps and picking over battlefields. The most recent news, though, was them being wiped off the map by hellfire from Imperial mechs, perhaps the one good thing they've done. It's a mystery, then, how Aleksy ended up here. The Worldhelm chose him, though, so there must be something respectable to this bandit.","Karlsgard, Lhodos",,"Standing a little over 6 foot with an athletic build, Aleksy carries himself with a special kind of pride not found in most. He's always adorned with some golden trinkets, bangles, earrings, whatever strikes his fancy, which pairs strangely with his rather meager choice of dress. Like a commoner playing royalty.",He/Him,Human,Guilt
Alexander Romani,173539943426031616,1358463058799890432,3deedfcd-a12d-473f-9585-ce5fa59c3629,65 (Died at 28),https://imgur.com/0qCvvni.png,,Historic Singer Reviving Songs,Not much is known publicly about Alexander's early life but for Terrans if they frequent the Fortune Valley Casino he has been an opera singer and composer in there for years now. Terrans who also lives in Mount Providence may have also seen him scavanging abandon churches to find old and forgotten musicals antiques.,"Terra, Haven, Mount Providence",,"Light grey almost white hair, constant stern look on his face with piercing red eyes. Wears a formal but out of fashion suit with a red tie.",He/Him,Insolvent,Duty
Alexandra Stuart Lancastrian,169795599758131200,1360841436370567168,d9385d43-8650-4eda-a329-9f3cc1acc51a,30,https://i.imgur.com/rThtzsn.jpeg,,Airship Captain Fighting Lawlessness,"* Born to the Prestigious Lancastrian Noble Family. Her father, Charles, is a Mid level Noble in charge of administration of one of the larger Imperial Provinces

Was always a brilliant girl, and to many considered a Prodigy.

Joined the military on her 18th birthday.

At 25, she was placed as part of the Sky Service, working on the Vigilant Watch to hunt down people who Violate the Delver's Code.

Six months ago, upon the retirement of her Captain, Johannes Kranston, she was promoted to Captain.

Two months ago, a confrontation with Charlotte Morgan caused a stir as Charlotte was briefly put under custody. This led to decommission of the ship and her being placed under leave.

With her ship donated to the Adventurer's Guild, she followed the ship and agreed to join on the condition that she is allowed to keep control of her ship.","High Tower, Aranova",,"Alexandra Lancastrian fills an imposing figure. She stands at 5'9, though she is often wearing heels or platforms that push her to 6'. Her long hair is nevertheless kept well groomed and straight, maintaining a professional appearance even in the air. And of course, her Service Uniform is kept immaculately pressed, cleaned, and ready for presentation.

Alexandra is an intense woman, with little patience for impropriety, and less for hooliganry or lawless behavior. The people who cross the line often quickly find themselves afoul of her custom service weapon, the 'Principles of Prosperity.'",She/Her,Zen,Justice
Alexei Volkov,384371410576998401,1336777279006838784,bc4e1c5f-fff5-40ab-bb7d-433ee901e797,21,https://i.imgur.com/x2lsAei.jpeg,,Son of the Dread Mages,"Not much would be known of Alexei by any of the Goldhearted, though those that do a little digging, or any of his fellow Gnosis Academy students, would know that he is the son of two rather prominent mages back in Dreadlan. Past this, as already mentioned, he is a student of Gnosis Academy, at which he has shown remarkable results in all fields theoretical. In practical though, any who have had the pleasure of working with him, have had mixed opinions of the man.",Dreadlan,,"Alexei is of average to thin stature and around 5'7'' tall. He's pale, his eyes eerily empty of any colour besides white and grey, and his black hair mirrors this scheme with long streaks of white already showing on the otherwise seemingly young man's black hair. Most notably, Alexei has a large scar that runs down his left cheek, neck and further down. Its not certain how large the scar is, as it eventually disappears under his Gnosis Academy uniform.",He/Him,Human,Ambition
Alwyn,297021352773287946,1334395649004797952,e6d25c96-529a-44b9-85d5-3eb900b33dd4,26,https://i.imgur.com/b7mZGIT.png,#D2042D,Well-Respected Sky Pirate seeking treasure,"A wanted Sky Pirate whom currently flies alone. Though he is wanted for Theft and Assault, there is no evidence that he has done so to any non-noble/rich people/group.",Lhodos,,"A relatively tall, well kept man with black hair wearing loose but well fitting clothes.",He/Him,Human,Ambition
